,alpha_amp
01,265.0
02,210.0
03,245.00000000000003
04,220.00000000000003
05,240.0
06,260.0
07,254.99999999999997
08,254.99999999999997
09,220.00000000000003
10,204.99999999999997
11,240.0
12,229.99999999999997
13,254.99999999999997
14,270.0
15,195.0
16,250.0
17,260.0
18,220.00000000000003
19,235.0
20,270.0
