,beta_amp
01,0.99749563725619
02,0.9885036856882721
03,0.9941310139911783
04,0.9949039225809868
05,0.9980521570022827
06,0.9878089634592649
07,0.9990994893157223
08,0.9964762214563636
09,0.9997630211119064
10,0.9998460350475342
11,0.9880646067153463
12,0.9939997375035519
13,0.9992330587056724
14,0.9961989633973332
15,0.9979875313038995
16,0.9982610181661972
17,0.9987246707682529
18,0.9983577044328149
19,0.9835907626897019
20,0.9951669336282074
