,gen_amp,kurtosis
01,0.0,1790.8145390921156
02,99.97260372312664,10.939273303894737
03,99.88081422751152,9.724125779708611
04,99.93217160221504,14.510398112445735
05,99.97819085475938,11.657744743899716
06,99.94780393086023,12.305701829732477
07,99.919806568236,18.916311732503022
08,99.98552164271017,12.996419430178072
09,99.98076296087103,2.435466588316501
10,99.9596013566459,15.316717550203506
11,99.92968195829138,10.90917048220837
12,99.97286019335394,11.646088266037566
13,99.27536155644437,26.18171626943673
14,99.90617682629656,24.239470426573526
15,99.83804460515043,14.884298943226312
16,99.87027557115783,32.41331753792415
17,99.99748437039713,4.115257991398114
18,99.54224828392285,27.519350248127054
19,99.77812900963887,21.35526243463072
20,99.72857647919624,16.993246925793063
