,alpha_amp
01,245.00000000000003
02,275.0
03,280.0
04,275.0
05,285.0
06,280.0
07,229.99999999999997
08,195.0
09,295.0
10,210.0
11,254.99999999999997
12,254.99999999999997
13,285.0
14,225.0
15,280.0
16,250.0
17,265.0
18,225.0
19,280.0
20,250.0
