,beta_amp
01,0.9968536844066802
02,0.9993716643687304
03,0.996819336952852
04,0.9982293819900753
05,0.9995739085715636
06,0.9922432440666608
07,0.9985109618198335
08,0.9988125424889468
09,0.9902150230919922
10,0.9974560605478178
11,0.9988583801032374
12,0.9991592748551185
13,0.9950697498447493
14,0.9981445106399975
15,0.994728688941875
16,0.9975308164563761
17,0.9975718708382542
18,0.976528009884444
19,0.9984551811748044
20,0.9965222103410438
