sub_id,peak_acc,is_good
1,0.641927083333333,1
2,0.683506944444444,1
3,0.628689236111111,1
4,0.695833333333333,1
5,0.589496527777778,1
6,0.608246527777778,1
7,0.578125,1
8,0.670355902777778,1
9,0.56171875,1
10,0.605381944444444,1
11,0.61953125,1
12,0.708940972222222,1
13,0.612196180555556,1
14,0.612803819444444,1
15,0.579991319444444,1
16,0.581467013888889,1
17,0.618359375,1
18,0.575130208333333,1
19,0.581597222222222,1
20,0.647222222222222,1
