,theta_amp
01,0.9979670144838007
02,0.9996914734309174
03,0.9994290918696848
04,0.9998152902498053
05,0.9978270644981999
06,0.997827224151373
07,0.9989167731478044
08,0.9900214305219753
09,0.9968019496417168
10,0.9972679869958608
11,0.9982310141160881
12,0.9946824653074762
13,0.9989466621284804
14,0.9996509478014679
15,0.9976661232285144
16,0.9946063528371956
17,0.9979457651258765
18,0.9992524316185486
19,0.9996248010005127
20,0.999418858216614
