,beta_amp
01,0.9969544147222006
02,0.9987826624660542
03,0.9921844464333355
04,0.9997347333265602
05,0.995360540645717
06,0.998270395172277
07,0.9992094860254354
08,0.988917210603171
09,0.9994101410468416
10,0.9990724458654265
11,0.9775912464818602
12,0.9914622729735618
13,0.9937022323385961
14,0.997758027705174
15,0.964638110445418
16,0.9895033972039001
17,0.9952200257721896
18,0.9960450369633835
19,0.9991939689757525
20,0.9964980309036655
