,gen_amp,kurtosis
01,99.92123895736127,28.712296166897982
02,99.90702193620645,24.151080129389527
03,99.97715291203342,4.426051166746959
04,99.99792389811444,10.350337507055334
05,99.90527229897252,21.18291928817935
06,99.79843292048261,27.53346781860774
07,99.92203716268206,8.47270255103353
08,99.96762018122772,19.61660129788079
09,99.3163152301915,23.710971508935877
10,99.72350775446523,12.581562885504884
11,87.7130317592246,7.3342439292954005
12,99.67510875533964,11.375255310834074
13,99.95866263082755,17.2055679714506
14,99.74134463552558,17.174845800437044
15,99.47231113916855,14.409829677633557
16,99.31430725594441,11.671660076810548
17,99.78923540147612,14.482131873881094
18,94.78177074483945,13.611149818672729
19,99.92714990805209,18.817303193146987
20,99.47122611022398,13.146327747496834
