,alpha_amp
01,245.00000000000003
02,240.0
03,265.0
04,265.0
05,215.0
06,229.99999999999997
07,254.99999999999997
08,225.0
09,280.0
10,195.0
11,245.00000000000003
12,270.0
13,225.0
14,270.0
15,245.00000000000003
16,280.0
17,225.0
18,225.0
19,260.0
20,245.00000000000003
